ID,tree,x_m,y_m,Habitat-Plot,Habitat,Plot,DBHcyl,DBHcyl_100,DBHqsm,DBHqsm_100,DBHsec,DBHsec_100,TotalVolume,TotalVolume_100,TotalVolume_opt,TotalVolume_opt_100,TotalVolume_std,TotalVolume_std_100,TreeHeight,hull_volume,pc_height,species,dbh_manual,Unnamed..0.1,Unnamed..0,in_plot,habitat2,has_vol,TotalVolume_final,TotalVolume_final_sd,name,genus,classification,family,wd,wd_sd,cf,agc,agc_var,agc_var_p,h_agc,agc_cumsum,h_agc_p,vol_contrib,wd_contrib,cf_contrib,total_var_term,vol_uncertainty,wd_uncertainty,cf_uncertainty,vol_pct,wd_pct,cf_pct,total_pct,girth_manual,agc_manual,residual,residual_p,residual_cumsum,name.1,type,dbh,height,spcode,matchtype,NSG,tariff,mercvol_m.3,stemvol_m.3,stembiomass_t,crownbiomass_t,rootbiomass_t,AGC_WCC_t,p_agc,f_agc,fthp,agc_v,agc_p1,agc_m1,agc_p10,agc_m10,agc_demol,ratio,trunk_height,spring_of_the_crown,TreeHeight,Timber_ratio
1,0038_T0,533055.2354,131278.4292,sssi-plot6,broadleaf,6,0.10915307,0.1217862,0.106770709,0.1217862,0.104385033,0.104283258,213.8588867,278.6724548,207.3,203.7,55.64,35.16,8.889465332,32.94938989,9.200337844,sylvatica,10,,,,broadleaf,>0.1 m,0.2037,0.03516,Fagus sylvatica,Fagus,broadleaf,Fagaceae,0.58548,0.138073382,0.488,0.058199991,0.017012719,0.292314801,279.0599129,272.8465069,0.977734509,0.029793099,0.055615494,3.94E-05,0.085447943,0.010045713,0.013725267,0.000365089,34.86695838,65.08698955,0.046052064,100,31.41592654,0.011858965,0.046341025,3.90767863,0.046341025,sylvatica,any,10.4283258,8.889465332,MX,mixed,0.33,22.07503241,0.037434629,0.041926784,0.013835839,0.005603321,0.007971909,0.01943916,6.271605984,0.022474048,0.006010273,0.079620697,0.081221066,0.078036241,0.096341036,0.064492762,0.051633286,0.223535225,6.203857422,0.347091675,8.889465332,0.697888702
2,0024_T6,533050.4207,131264.8323,sssi-plot6,broadleaf,6,0.107229345,0.107229255,0.106967196,0.107251301,0.104524627,0.10439077,148.8008423,177.2557983,158,153.8,16.02,18.52,15.42788696,26.99579696,20.50028569,aucuparia,10.4,,,,broadleaf,>0.1 m,0.1538,0.01852,Sorbus aucuparia,Sorbus,broadleaf,Rosaceae,0.62853,0.057071823,0.488,0.047173942,0.007120673,0.150945053,279.0599129,274.435897,0.983430025,0.014500043,0.008245015,3.94E-05,0.022784409,0.005680503,0.004283491,0.000295922,63.64019834,36.18709346,0.172708195,100,32.6725636,0.01308324,0.034090702,2.605677293,0.080431727,aucuparia,any,10.439077,15.42788696,MX,mixed,0.33,34.74341959,0.056356286,0.063119041,0.020829283,0.005617639,0.007992472,0.026446923,4.671189854,0.016739021,0.006932391,0.054368373,0.055461172,0.053286441,0.065785728,0.044038378,0.027278301,0.445903987,10.60453796,7.050430298,15.42788696,0.687361658
3,0050_T15,532979.4547,131074.8936,sssi-plot8-11,broadleaf,08-Nov,0.210037842,0.209987864,0.209877267,0.209316254,0.20487389,0.204439923,162.8377228,190.8516693,159.9,157.6,11.13,15.74,4.562561035,0.379990363,4.548859224,avellana,11.2,,,,broadleaf,>0.1 m,0.1576,0.01574,Corylus avellana,Corylus,broadleaf,Betulaceae,0.5166,0.106599212,0.488,0.039731086,0.009111625,0.229332403,279.0599129,275.3808795,0.986816332,0.009974635,0.042579365,3.94E-05,0.052593351,0.003968067,0.008198417,0.000249233,18.96558253,80.95959709,0.074820373,100,35.18583772,0.015752081,0.023979005,1.522275324,0.104410732,avellana,any,20.4439923,4.562561035,MX,mixed,0.33,10.10601917,0.095998411,0.097918379,0.032313065,0.029683254,0.042898305,0.061996319,3.718764425,0.013326043,0.007512375,0.048113853,0.049080942,0.04715639,0.058217768,0.038972225,0.043517459,0.796046793,4.156097412,1.542251587,4.562561035,0.910913274
4,0051_T8,532982.0411,131074.8167,sssi-plot8-11,broadleaf,08-Nov,0.109582178,0.109597892,0.108752616,0.109851576,0.114516512,0.113533154,32.45632553,27.78877258,32.46,29.59,0,5.443,2.324569702,1.872930796,3.048860372,excelsior,11.5,,,,broadleaf,>0.1 m,0.02959,0.005443,Fraxinus excelsior,Fraxinus,broadleaf,Oleaceae,0.55965,0.141673096,0.488,0.008081301,0.002529316,0.312983694,279.0599129,278.9863373,0.999736345,0.033836602,0.06408284,3.94E-05,0.097958792,0.001486533,0.002045748,5.07E-05,34.5416688,65.4181607,0.040170505,100,36.12831552,0.016830417,-0.008749116,-0.519839527,0.095661616,excelsior,any,11.3533154,2.324569702,MX,mixed,0.33,9.053185123,0.022626652,0.024663051,0.008138807,0.006916013,0.009858994,0.01505482,0.08165692,0.000292614,0.009941563,0.00758937,0.007741916,0.007438342,0.009183139,0.006147389,0.006055681,0.933394551,1.405426025,1.874206543,2.324569702,0.604596207
5,0059_T8,534184.2389,131993.9653,pearcelands,coppice,,0.374542177,0.433876067,0.374542177,0.433876067,0.303801239,0.368348628,3690.356689,3921.116455,3254,2976,314.8,549.3,19.12533569,101.2433449,19.15663157,pendula,11.77746579,1119,1119,TRUE,coppice,>0.1 m,2.976,0.5493,Betula pendula,Betula,broadleaf,Betulaceae,0.52521,0.106599212,0.488,0.76275618,0.209310414,0.274413265,857.3659301,705.9585761,0.823404046,0.034068526,0.041194763,3.94E-05,0.07530264,0.140786952,0.154812756,0.00478477,45.24214036,54.70560312,0.052256523,100,37,0.017866179,0.744890001,41.69274197,0.744890001,pendula,any,36.8348628,19.12533569,MX,mixed,0.33,26.077731,0.844394913,0.844394913,0.278650321,0.127581357,0.177236852,0.406231678,152.1701102,0.177485604,0.006004019,1.004992008,1.025192261,0.984992743,1.216040373,0.814043462,0.694430308,0.242466211,13.52636719,8.407730103,19.12533569,0.707248616
6,0043_T5,532981.6151,131064.3312,sssi-plot8-11,broadleaf,08-Nov,0.392089814,0.407712549,0.392089814,0.407712549,0.318782538,0.358000278,1295.866943,1288.299438,2484,2865,1760,1464,22.43971252,57.61026547,22.52299203,excelsior,11.8,,,,broadleaf,>0.1 m,2.865,1.464,Fraxinus excelsior,Fraxinus,broadleaf,Oleaceae,0.55965,0.141673096,0.488,0.782457858,0.446232801,0.570296274,279.0599129,224.4462972,0.8042943,0.261115649,0.06408284,3.94E-05,0.32523784,0.399831869,0.198075989,0.004908359,80.28452324,19.70337776,0.012099005,100,37.07079331,0.017951933,0.764505925,42.58627242,0.86016754,excelsior,any,35.8000278,22.43971252,MX,mixed,0.33,31.72454007,0.968381426,0.968381426,0.31956587,0.118887539,0.16734446,0.43845341,55.39607357,0.198509607,0.009704143,0.351846397,0.358918488,0.344844669,0.425734133,0.284995556,0.267226013,0.582163334,15.99688721,2.648010254,22.43971252,0.712882894
7,0042_T20,532977.8219,131068.8197,sssi-plot8-11,broadleaf,08-Nov,0.24121508,0.195255622,0.24121508,0.195255622,0.180597737,0.15528287,667.3070068,610.8151855,588.6,577.4,88.44,74.27,18.16697693,30.26630762,18.01553572,excelsior,11.9,,,,broadleaf,>0.1 m,0.5774,0.07427,Fraxinus excelsior,Fraxinus,broadleaf,Oleaceae,0.55965,0.141673096,0.488,0.157693252,0.044788059,0.284020138,279.0599129,259.3816429,0.929483709,0.016545248,0.06408284,3.94E-05,0.080667439,0.02028382,0.039919398,0.00098921,20.51044198,79.44077683,0.048781196,100,37.38495258,0.018335465,0.139357787,7.600449938,0.999525327,excelsior,any,15.528287,18.16697693,MX,mixed,0.33,37.08102411,0.180626174,0.186044959,0.061394837,0.015020663,0.021569234,0.0764155,19.83596328,0.071081378,0.000836287,0.16681926,0.170172304,0.163499549,0.201851308,0.135123581,0.11135682,0.401294142,13.16337585,4.823486328,18.16697693,0.724577121
8,0144_T6,532927.6759,131442.3861,conifer,conifer,,0.201430574,0.201429725,0.199857056,0.202880412,0.201564506,0.199850187,150.8464813,155.2428894,150.8,147.6,0,9.421,5.340423584,12.44649419,5.343292193,abies,12,,,,conifer,>0.1 m,0.1476,0.009421,Picea abies,Picea,conifer,Pinaceae,0.37023,0.059858304,0.508,0.027760142,0.004828215,0.173926182,112.8902465,112.1473668,0.993419452,0.004074003,0.026140001,3.63E-05,0.030250317,0.001771872,0.004488224,0.000167284,13.46763579,86.41232227,0.12004194,100,37.69911184,0.02545816,0.002301982,0.090422151,0.002301982,abies,conifer,19.98501867,5.340423584,XF,genus,0.31,9.865091105,0.089333085,0.091119747,0.028247121,0.024081489,0.019144199,0.05232861,0.770639878,0.006826452,0.00868131,0.029197592,0.029784463,0.028616562,0.035329089,0.02365005,0.026062332,0.934231758,4.488815308,,5.340423584,0.840535444
9,0133_T14,532920.4291,131439.8711,conifer,conifer,,0.127022103,0.12698397,0.123921298,0.122123979,0.122990094,0.120371312,135.0772858,180.5555878,118.4,110,23.84,35.46,7.425476074,36.4516416,12.64975353,abies,12.1,,,,conifer,>0.1 m,0.11,0.03546,Picea abies,Picea,conifer,Pinaceae,0.37023,0.059858304,0.508,0.020688452,0.007462042,0.36068633,112.8902465,112.5956949,0.997390815,0.103918314,0.026140001,3.63E-05,0.130094628,0.006669205,0.003344882,0.000124669,79.8790198,20.09306739,0.027912811,100,38.01327111,0.026141606,-0.005453154,-0.20860057,-0.003151172,abies,conifer,12.03713119,7.425476074,XF,genus,0.31,16.86025969,0.044679026,0.047806558,0.014820033,0.006860561,0.005389932,0.021680594,0.315240044,0.002792447,0.009449308,0.033958323,0.034640882,0.033282548,0.041089572,0.027506242,0.02442084,0.371806175,5.315856934,3.068313599,7.425476074,0.715894426
10,0044_T4,532990.622,131062.7175,sssi-plot8-11,broadleaf,08-Nov,0.13830623,0.134899408,0.128318086,0.119259052,0.124232367,0.129236355,180.4669647,131.2298126,138.7,127.4,30.56,15.82,8.728134155,18.09965154,9.018839165,campestre,12.4,,,,broadleaf,>0.1 m,0.1274,0.01582,Acer campestre,Acer,broadleaf,Sapindaceae,0.52521,0.010256137,0.488,0.032652936,0.004109644,0.125858319,279.0599129,276.5445894,0.990986439,0.015419635,0.000381331,3.94E-05,0.015840316,0.004054705,0.000637636,0.000204832,97.34423777,2.407342054,0.248420173,100,38.9557489,0.020326758,0.012326178,0.606401555,1.011851505,campestre,any,12.9236355,8.728134155,MX,mixed,0.33,20.6970951,0.065039187,0.068941538,0.022750707,0.009532348,0.013629741,0.032283056,2.54797646,0.009130571,0.008257253,0.033634529,0.034310583,0.032965206,0.04069778,0.02724397,0.016710175,0.401710898,5.107299805,3.166320801,8.728134155,0.585153678
